employee_program_id,employee_id,program_id,enrollment_date,completion_date,participation_status,completion_score
EP000001,E04267,P030,2026-08-04,2026-08-19,Completed,76.76
EP000002,E02494,P034,2025-08-20,2025-09-03,Completed,81.44
EP000003,E00179,P039,2026-06-03,,Enrolled,
EP000004,E02530,P009,2024-09-17,,Enrolled,
EP000005,E04825,P037,2026-07-19,2026-07-27,Completed,78.24
EP000006,E03826,P001,2025-12-24,,Enrolled,
EP000007,E03108,P039,2026-03-28,,Enrolled,
EP000008,E01349,P011,2024-09-16,2025-01-21,Completed,77.08
EP000009,E00641,P018,2026-06-11,2026-06-17,Completed,84.67
EP000010,E00232,P013,2025-06-04,2025-07-04,Completed,76.58
EP000011,E01670,P007,2024-10-02,2024-10-16,Completed,71.88
EP000012,E00586,P034,2025-09-20,2025-09-24,Completed,73.57
EP000013,E01150,P008,2024-07-14,,Enrolled,
EP000014,E02530,P033,2025-02-23,2025-03-02,Completed,89.34
EP000015,E01108,P013,2025-07-20,,Enrolled,
EP000016,E03209,P006,2025-04-24,,Enrolled,
EP000017,E02771,P015,2025-04-30,2025-06-13,Completed,83.1
EP000018,E01409,P026,2026-10-15,,In Progress,
EP000019,E01868,P015,2025-06-16,2025-06-17,Completed,100.0
EP000020,E02783,P033,2025-03-18,2025-03-28,Completed,98.45
EP000021,E03893,P040,2025-02-25,,Enrolled,
EP000022,E01267,P031,2026-07-12,,In Progress,
EP000023,E00883,P001,2026-02-23,,Enrolled,
EP000024,E01163,P025,2024-06-29,2024-08-24,Completed,76.73
EP000025,E02124,P036,2024-12-25,,Withdrawn,
EP000026,E01163,P002,2024-09-09,,Enrolled,
EP000027,E03064,P019,2026-03-26,2026-04-20,Completed,79.22
EP000028,E00978,P008,2024-11-03,2024-11-12,Completed,84.46
EP000029,E01085,P022,2024-12-08,2024-12-26,Completed,89.51
EP000030,E01614,P040,2025-01-15,2025-01-16,Completed,91.07
EP000031,E00778,P035,2024-08-24,2024-09-16,Completed,69.73
EP000032,E02722,P037,2026-06-05,2026-07-11,Completed,90.63
EP000033,E03355,P014,2026-09-07,,In Progress,
EP000034,E02412,P022,2024-11-24,2024-12-13,Completed,100.0
EP000035,E00308,P030,2026-07-06,,In Progress,
EP000036,E00671,P032,2025-01-20,,Enrolled,
EP000037,E03604,P024,2025-04-30,2025-05-01,Completed,94.24
EP000038,E01322,P023,2025-06-14,2025-09-10,Completed,86.47
EP000039,E00683,P014,2026-12-11,2026-12-27,Completed,84.93
EP000040,E02302,P027,2024-12-19,2025-02-14,Completed,90.98
EP000041,E03741,P036,2024-12-29,2025-01-16,Completed,81.91
EP000042,E02391,P035,2024-07-30,2024-08-21,Completed,95.27
EP000043,E00074,P035,2024-06-23,2024-07-26,Completed,80.53
EP000044,E03008,P024,2025-03-05,2025-04-08,Completed,82.51
EP000045,E01749,P004,2025-10-30,2025-12-04,Completed,100.0
EP000046,E02171,P035,2024-09-18,2024-09-20,Completed,68.41
EP000047,E03942,P024,2025-03-14,,Enrolled,
EP000048,E04985,P015,2025-04-20,2025-04-24,Completed,100.0
EP000049,E03593,P020,2025-11-03,2025-12-21,Completed,74.5
EP000050,E03849,P033,2025-01-18,2025-03-14,Completed,85.45
EP000051,E03887,P031,2026-06-18,2026-07-18,Completed,89.7
EP000052,E00134,P015,2025-03-16,,Withdrawn,
EP000053,E00254,P034,2025-08-04,2025-09-11,Completed,88.01
EP000054,E00142,P018,2026-04-26,2026-05-30,Completed,69.66
EP000055,E01466,P001,2025-12-16,2026-01-18,Completed,79.77
EP000056,E04486,P039,2026-03-01,2026-03-14,Completed,90.99
EP000057,E01019,P020,2026-01-11,2026-01-15,Completed,78.5
EP000058,E03694,P030,2026-07-25,,In Progress,
EP000059,E02369,P004,2026-01-11,,Enrolled,
EP000060,E04921,P015,2025-03-24,,Enrolled,
EP000061,E03225,P036,2024-12-18,2025-01-03,Completed,71.0
EP000062,E00142,P013,2025-07-24,,Withdrawn,
EP000063,E03455,P038,2025-05-16,2025-05-31,Completed,91.02
EP000064,E03402,P001,2026-01-06,,Enrolled,
EP000065,E00257,P002,2024-08-20,2024-12-02,Completed,81.85
EP000066,E01463,P030,2026-06-07,,Withdrawn,
EP000067,E04487,P002,2024-09-28,,Enrolled,
EP000068,E00211,P002,2024-08-04,2024-10-05,Completed,92.93
