employee_id,hire_date,termination_date,employment_status,job_level,job_family,location,manager_id,organization_id
E00001,2022-11-30,,Active,L3,Software Engineering,North America,E04812,ORG039
E00002,2024-07-30,,Active,L2,Data,Europe,E00611,ORG027
E00003,2024-07-20,,Active,L4,Program Management,Europe,E02217,ORG019
E00004,2023-01-27,,Active,L3,Data,Europe,E00098,ORG008
E00005,2018-10-30,,Active,L3,Software Engineering,Europe,E01590,ORG050
E00006,2020-11-11,,Active,L4,Marketing,Europe,E00845,ORG030
E00007,2019-03-28,,Active,L4,Sales,North America,E01197,ORG022
E00008,2018-06-30,,Active,L5,Finance,North America,E04068,ORG018
E00009,2024-11-06,,Active,L6,HR,Europe,E01306,ORG044
E00010,2020-07-08,,Active,L4,Operations,Asia Pacific,E04068,ORG040
E00011,2020-08-03,,Active,L2,Finance,North America,E04483,ORG040
E00012,2021-10-17,,Active,L3,Marketing,North America,E02754,ORG030
E00013,2021-11-04,,Active,L6,Data,Asia Pacific,E02748,ORG043
E00014,2021-02-15,2024-01-05,Terminated,L2,Program Management,Asia Pacific,E01623,ORG015
E00015,2024-02-10,,Active,L4,Software Engineering,Europe,E03334,ORG035
E00016,2024-08-02,,Active,L6,Sales,Asia Pacific,E04032,ORG020
E00017,2022-02-09,,Active,L6,Sales,Latin America,E04331,ORG030
E00018,2020-08-07,,Active,L4,HR,Europe,E00930,ORG050
E00019,2022-04-26,,Active,L5,Finance,North America,E03428,ORG048
E00020,2018-02-26,,Active,L4,Operations,Europe,E00666,ORG025
E00021,2024-03-15,,Active,L5,Data,Asia Pacific,E02449,ORG028
E00022,2018-06-01,,Active,L2,HR,Europe,E00427,ORG044
E00023,2024-02-25,,Active,L2,Marketing,North America,E02786,ORG048
E00024,2023-05-07,,Active,L4,Marketing,Asia Pacific,E04260,ORG038
E00025,2026-11-24,,Active,L3,Program Management,Asia Pacific,E04079,ORG004
E00026,2019-09-30,,Active,L5,Software Engineering,North America,E03594,ORG016
E00027,2019-03-31,,Active,L3,Finance,Latin America,E02914,ORG044
E00028,2024-02-14,,Active,L6,Data,Asia Pacific,E03151,ORG038
E00029,2026-02-25,,Active,L5,Data,Asia Pacific,E00481,ORG036
E00030,2023-10-18,,Active,L4,Sales,Latin America,E03672,ORG033
E00031,2020-12-07,,Active,L5,Marketing,North America,E03410,ORG021
E00032,2019-01-14,,Active,L3,Program Management,Asia Pacific,E00688,ORG020
E00033,2026-09-18,,Active,L4,Operations,North America,E03179,ORG040
E00034,2026-05-12,,Active,L3,Operations,Asia Pacific,E01886,ORG015
E00035,2021-09-01,,Active,L6,Software Engineering,Asia Pacific,E02564,ORG034
E00036,2019-09-05,,Active,L5,Product,Asia Pacific,E04068,ORG036
E00037,2022-06-22,,Leave,L6,Product,Asia Pacific,E01557,ORG041
E00038,2025-12-08,,Active,L6,Sales,Asia Pacific,E04572,ORG016
E00039,2026-06-23,,Active,L6,Program Management,North America,E02027,ORG036
E00040,2022-03-27,,Active,L3,HR,North America,E02588,ORG006
E00041,2019-09-10,,Active,L6,Software Engineering,North America,E00121,ORG007
E00042,2024-04-07,,Active,L4,Marketing,Asia Pacific,E00581,ORG021
E00043,2024-07-31,,Active,L4,Sales,Europe,E01336,ORG003
E00044,2018-12-24,,Active,L4,Operations,Europe,E04901,ORG046
E00045,2020-08-20,,Active,L3,Product,North America,E01224,ORG044
E00046,2022-02-26,,Active,L3,Marketing,Europe,E01944,ORG003
E00047,2024-07-26,,Active,L3,Sales,North America,E04279,ORG041
E00048,2026-05-23,,Active,L2,Operations,Latin America,E01546,ORG025
E00049,2019-11-11,,Active,L4,Product,Asia Pacific,E04059,ORG034
E00050,2018-01-13,2025-01-02,Terminated,L6,Finance,Europe,E00566,ORG043
E00051,2026-02-08,,Active,L4,Program Management,Asia Pacific,E00630,ORG028
E00052,2026-12-27,,Active,L4,HR,North America,E00059,ORG006
E00053,2020-09-27,,Active,L4,Sales,North America,E00590,ORG001
E00054,2023-08-10,,Active,L4,Operations,Europe,E03060,ORG025
E00055,2024-11-21,,Active,L3,Data,Asia Pacific,E00431,ORG046
E00056,2024-11-25,,Active,L5,Finance,North America,E03112,ORG028
E00057,2020-02-26,,Active,L3,Sales,North America,E03029,ORG019
E00058,2020-02-22,,Active,L5,Product,Europe,E01128,ORG002
E00059,2019-05-18,,Active,L5,Marketing,North America,E00163,ORG045
E00060,2018-11-23,,Active,L4,Program Management,North America,E00797,ORG016
E00061,2023-08-10,,Active,L6,HR,North America,E00686,ORG035
E00062,2025-02-26,,Active,L3,HR,Latin America,E02690,ORG034
E00063,2025-09-17,,Active,L6,Software Engineering,North America,E04657,ORG013
E00064,2021-06-04,,Active,L5,Data,North America,E02131,ORG004
E00065,2022-10-21,,Active,L5,Marketing,North America,E03181,ORG019
E00066,2021-01-06,,Active,L5,HR,North America,E01475,ORG016
E00067,2019-09-21,,Active,L5,Finance,Asia Pacific,E00433,ORG034
E00068,2019-01-11,,Active,L7,Product,North America,,ORG040
E00069,2022-10-09,,Active,L4,Data,North America,E01031,ORG011
E00070,2026-05-03,,Active,L5,Product,Latin America,E02371,ORG026
E00071,2024-06-14,,Active,L5,Operations,Asia Pacific,E04323,ORG002
E00072,2018-03-20,,Active,L4,HR,North America,E01171,ORG011
E00073,2022-01-01,,Active,L6,Product,North America,E04923,ORG037
E00074,2018-08-21,,Active,L3,Software Engineering,Asia Pacific,E03203,ORG039
E00075,2024-06-10,,Active,L4,Product,Europe,E01726,ORG038
E00076,2021-11-12,2025-04-20,Terminated,L2,Marketing,Latin America,E03146,ORG007
E00077,2018-11-08,,Active,L3,Finance,North America,E03488,ORG027
E00078,2023-05-17,2024-07-04,Terminated,L5,Marketing,Asia Pacific,E03428,ORG021
E00079,2024-12-01,,Active,L3,Data,North America,E04339,ORG048
E00080,2020-02-16,,Active,L3,Operations,North America,E03308,ORG032
E00081,2024-08-12,,Active,L3,Operations,Asia Pacific,E00112,ORG046
E00082,2019-02-18,,Active,L4,Program Management,Europe,E01830,ORG008
E00083,2020-08-15,,Active,L5,Program Management,North America,E04540,ORG022
E00084,2022-07-06,,Active,L6,Data,North America,E00984,ORG038
E00085,2019-02-14,,Active,L2,Data,Asia Pacific,E02512,ORG018
E00086,2022-03-08,,Active,L4,Sales,North America,E02514,ORG031
E00087,2019-05-22,,Active,L4,Program Management,North America,E02818,ORG025
E00088,2023-01-18,,Active,L4,Software Engineering,North America,E04354,ORG049
E00089,2026-12-25,,Active,L4,Program Management,North America,E02753,ORG009
E00090,2020-03-22,,Active,L3,Marketing,Asia Pacific,E00008,ORG046
E00091,2018-09-08,,Active,L4,Operations,North America,E01147,ORG020
E00092,2022-01-15,,Active,L4,Marketing,Europe,E03170,ORG023
E00093,2023-02-27,,Active,L4,Software Engineering,Europe,E03909,ORG026
E00094,2019-12-29,,Active,L4,Software Engineering,North America,E03230,ORG013
E00095,2019-04-09,,Active,L5,Finance,Europe,E03698,ORG047
E00096,2026-03-10,,Active,L5,HR,North America,E01143,ORG045
E00097,2023-09-15,,Active,L3,Marketing,Asia Pacific,E00459,ORG048
E00098,2021-11-17,2025-12-25,Terminated,L5,Operations,Asia Pacific,E04735,ORG050
E00099,2021-12-20,,Active,L5,Software Engineering,Asia Pacific,E02846,ORG033
E00100,2018-08-20,,Active,L2,Operations,North America,E03717,ORG022
E00101,2019-05-01,,Active,L4,Product,Asia Pacific,E04786,ORG042
E00102,2018-06-22,,Active,L3,Software Engineering,Europe,E00887,ORG002
E00103,2022-12-23,,Active,L5,Data,North America,E04364,ORG041
E00104,2025-12-26,,Active,L3,HR,North America,E01772,ORG025
E00105,2019-02-28,,Active,L5,Finance,North America,E03156,ORG033
E00106,2018-10-05,,Active,L3,Software Engineering,North America,E01897,ORG019
E00107,2023-02-18,,Active,L4,Finance,North America,E00946,ORG018
E00108,2022-02-14,,Active,L6,Sales,Latin America,E04401,ORG002
E00109,2025-04-15,,Active,L3,Sales,Latin America,E01687,ORG021
E00110,2023-09-14,,Active,L6,Operations,North America,E00108,ORG020
E00111,2021-01-07,,Active,L7,Data,Latin America,,ORG011
E00112,2020-09-27,,Active,L6,Finance,Europe,E00728,ORG012
E00113,2025-07-23,,Active,L3,Operations,North America,E04812,ORG029
E00114,2023-06-12,,Active,L5,Marketing,Latin America,E04099,ORG016
E00115,2018-01-03,,Active,L2,Operations,Europe,E03321,ORG041
E00116,2021-02-21,,Active,L3,HR,Europe,E03898,ORG006
E00117,2019-09-30,,Active,L6,Operations,North America,E03238,ORG028
E00118,2023-11-15,,Active,L5,Operations,North America,E04549,ORG008
E00119,2020-07-18,,Active,L4,Product,Asia Pacific,E00471,ORG026
E00120,2019-07-02,,Active,L3,Program Management,North America,E00274,ORG027
E00121,2019-11-06,,Active,L5,Product,North America,E03460,ORG032
E00122,2023-03-16,,Active,L5,Operations,North America,E04828,ORG021
E00123,2026-12-16,,Active,L4,Marketing,North America,E02946,ORG025
E00124,2019-03-24,,Active,L6,Program Management,North America,E04835,ORG009
E00125,2024-08-16,,Active,L3,Operations,Latin America,E01971,ORG023
E00126,2026-08-09,,Active,L3,Marketing,North America,E03382,ORG019
E00127,2021-11-14,,Active,L4,Software Engineering,Asia Pacific,E02564,ORG033
E00128,2026-12-16,,Active,L7,Product,Europe,,ORG022
E00129,2019-12-09,,Active,L3,Operations,Europe,E04413,ORG038
E00130,2020-10-28,,Active,L3,Program Management,North America,E03230,ORG021
E00131,2025-02-26,,Active,L2,Program Management,North America,E02153,ORG012
E00132,2018-08-16,,Active,L6,Sales,Asia Pacific,E01153,ORG014
E00133,2018-08-23,,Active,L3,Operations,Asia Pacific,E01526,ORG003
E00134,2018-05-11,,Active,L4,Program Management,North America,E00351,ORG027
E00135,2019-11-11,,Active,L7,Operations,Asia Pacific,,ORG041
E00136,2018-10-13,,Active,L2,Sales,Asia Pacific,E00748,ORG038
E00137,2025-06-26,,Active,L4,Marketing,North America,E02564,ORG022
E00138,2019-08-13,,Active,L4,Product,Europe,E00132,ORG010
E00139,2020-11-27,,Active,L5,Data,Asia Pacific,E02335,ORG042
E00140,2022-08-23,,Active,L3,Data,Asia Pacific,E00179,ORG003
