move_id,employee_id,move_date,move_type,from_organization_id,to_organization_id,from_job_level,to_job_level
M000001,E04852,2026-09-19,Lateral Transfer,ORG035,ORG035,L2,L2
M000002,E03188,2026-09-20,Organization Transfer,ORG002,ORG044,L5,L5
M000003,E04989,2026-05-06,Organization Transfer,ORG045,ORG047,L6,L6
M000004,E01143,2025-08-25,Promotion,ORG045,ORG045,L5,L6
M000005,E03011,2026-03-19,Organization Transfer,ORG021,ORG005,L2,L2
M000006,E00449,2024-08-25,Lateral Transfer,ORG018,ORG018,L2,L2
M000007,E02781,2026-12-08,Lateral Transfer,ORG033,ORG033,L6,L6
M000008,E03432,2024-11-22,Lateral Transfer,ORG048,ORG048,L2,L2
M000009,E03937,2025-10-10,Lateral Transfer,ORG028,ORG028,L3,L3
M000010,E03660,2024-06-04,Role Change,ORG025,ORG012,L2,L3
M000011,E01324,2026-12-14,Promotion,ORG020,ORG020,L5,L6
M000012,E00034,2026-11-09,Organization Transfer,ORG015,ORG007,L3,L3
M000013,E02467,2024-02-29,Organization Transfer,ORG035,ORG005,L7,L7
M000014,E03297,2026-05-07,Lateral Transfer,ORG038,ORG038,L3,L3
M000015,E02904,2024-09-17,Lateral Transfer,ORG007,ORG007,L6,L6
M000016,E02689,2026-06-27,Organization Transfer,ORG042,ORG017,L6,L6
M000017,E03495,2026-11-08,Role Change,ORG026,ORG021,L3,L3
M000018,E02838,2025-06-15,Lateral Transfer,ORG009,ORG009,L3,L3
M000019,E01762,2026-12-28,Role Change,ORG031,ORG031,L5,L5
M000020,E03350,2024-01-30,Organization Transfer,ORG036,ORG040,L3,L3
M000021,E00603,2026-06-29,Organization Transfer,ORG045,ORG038,L2,L2
M000022,E00184,2025-12-08,Role Change,ORG036,ORG043,L4,L5
M000023,E04026,2024-04-14,Organization Transfer,ORG005,ORG036,L2,L2
M000024,E02908,2025-12-30,Organization Transfer,ORG013,ORG025,L3,L3
M000025,E03716,2024-06-28,Organization Transfer,ORG036,ORG022,L3,L3
M000026,E03628,2024-04-26,Organization Transfer,ORG030,ORG027,L2,L2
M000027,E02591,2024-12-24,Promotion,ORG010,ORG010,L2,L3
M000028,E04600,2025-12-12,Organization Transfer,ORG046,ORG005,L5,L5
M000029,E04956,2024-11-14,Organization Transfer,ORG042,ORG008,L2,L2
M000030,E02334,2025-01-07,Organization Transfer,ORG028,ORG021,L5,L5
M000031,E00864,2026-11-09,Role Change,ORG022,ORG016,L5,L5
M000032,E00859,2026-11-16,Promotion,ORG015,ORG015,L3,L4
M000033,E02111,2026-12-01,Organization Transfer,ORG003,ORG039,L5,L5
M000034,E04918,2026-03-12,Lateral Transfer,ORG036,ORG036,L4,L4
M000035,E04004,2024-09-09,Lateral Transfer,ORG038,ORG038,L2,L2
M000036,E04228,2026-09-17,Lateral Transfer,ORG047,ORG047,L3,L3
M000037,E02817,2025-10-17,Role Change,ORG039,ORG039,L2,L2
M000038,E02614,2025-05-28,Role Change,ORG005,ORG005,L4,L4
