review_id,employee_id,review_cycle,review_date,performance_rating,potential_rating,promotion_recommended,review_status
R000001,E02148,2024_H1,2024-06-15,4,2,False,Completed
R000002,E04765,2024_H1,2024-06-15,3,3,False,Completed
R000003,E02694,2024_H1,2024-06-15,5,2,False,Completed
R000004,E03470,2024_H1,2024-06-15,3,4,False,Pending
R000005,E02846,2024_H1,2024-06-15,4,3,False,Completed
R000006,E01186,2024_H1,2024-06-15,3,4,False,Completed
R000007,E04695,2024_H1,2024-06-15,3,3,False,Completed
R000008,E02622,2024_H1,2024-06-15,4,3,False,Completed
R000009,E01093,2024_H1,2024-06-15,5,4,False,Completed
R000010,E03060,2024_H1,2024-06-15,3,4,False,Completed
R000011,E00807,2024_H1,2024-06-15,3,4,False,Completed
R000012,E00585,2024_H1,2024-06-15,1,2,False,Completed
R000013,E00934,2024_H1,2024-06-15,4,4,False,Completed
R000014,E04956,2024_H1,2024-06-15,3,4,False,Completed
R000015,E01933,2024_H1,2024-06-15,5,2,False,Completed
R000016,E02458,2024_H1,2024-06-15,4,3,False,Pending
R000017,E04275,2024_H1,2024-06-15,3,4,False,Completed
R000018,E01566,2024_H1,2024-06-15,5,3,False,Completed
R000019,E01591,2024_H1,2024-06-15,4,5,False,Completed
R000020,E01874,2024_H1,2024-06-15,3,4,False,Cancelled
R000021,E02579,2024_H1,2024-06-15,2,4,False,Cancelled
R000022,E03796,2024_H1,2024-06-15,4,1,False,Completed
R000023,E02035,2024_H1,2024-06-15,3,5,False,Completed
R000024,E03518,2024_H1,2024-06-15,5,4,False,Completed
R000025,E02881,2024_H1,2024-06-15,4,4,False,Completed
R000026,E03681,2024_H1,2024-06-15,2,5,False,Completed
R000027,E00836,2024_H1,2024-06-15,2,4,False,Completed
R000028,E01042,2024_H1,2024-06-15,3,4,True,Pending
R000029,E02307,2024_H1,2024-06-15,4,4,False,Pending
R000030,E03057,2024_H1,2024-06-15,2,2,False,Completed
R000031,E00803,2024_H1,2024-06-15,3,2,False,Cancelled
R000032,E01094,2024_H1,2024-06-15,2,3,False,Pending
R000033,E04092,2024_H1,2024-06-15,2,3,False,Completed
R000034,E02660,2024_H1,2024-06-15,2,3,False,Completed
R000035,E01951,2024_H1,2024-06-15,2,3,False,Completed
R000036,E00801,2024_H1,2024-06-15,2,3,False,Pending
R000037,E04855,2024_H1,2024-06-15,3,3,False,Completed
R000038,E02008,2024_H1,2024-06-15,3,4,False,Completed
R000039,E03580,2024_H1,2024-06-15,3,3,False,Completed
R000040,E02397,2024_H1,2024-06-15,1,3,False,Completed
R000041,E02547,2024_H1,2024-06-15,4,5,False,Pending
R000042,E03418,2024_H1,2024-06-15,3,2,False,Completed
R000043,E02908,2024_H1,2024-06-15,4,4,False,Completed
